"",,Passengers,,,Bikes,,PNAs
Station Name On,,Avg/Day Off,Avg/Day,On,Avg/Day Off Avg/Day,On,Avg/Day Off Avg/Day
Mangonia Park,,,,,,,
"Weekday Totals 19,384",,"842.0 20,766",902.0,713,31.0 585 25.0,21,0.0 22 0.0
"Saturday Totals 1,153",,"288.0 1,414",353.0,61,15.0 50 12.0,7,1.0 14 3.0
Sunday Totals 938,,"234.0 1,294",323.0,67,16.0 45 11.0,5,1.0 3 0.0
WPB Station,,,,,,,
"Weekday Totals 25,659",,"1,115.0 29,341","1,275.0","1,184",51.0 918 39.0,60,2.0 43 1.0
"Saturday Totals 2,571",,"642.0 2,829",707.0,152,38.0 99 24.0,16,4.0 9 2.0
"Sunday Totals 2,201",,"550.0 2,358",589.0,134,33.0 95 23.0,10,2.0 9 2.0
Lake Worth Station,,,,,,,
"Weekday Totals 21,273",,"924.0 20,729",901.0,"1,631","70.0 1,438 62.0",30,1.0 24 1.0
"Saturday Totals 2,346",,"586.0 2,290",572.0,181,45.0 168 42.0,10,2.0 4 1.0
"Sunday Totals 1,995",,"498.0 1,927",481.0,172,43.0 140 35.0,5,1.0 5 1.0
Boynton Beach Station,,,,,,,
"Weekday Totals 17,865",,"776.0 15,050",654.0,724,31.0 666 28.0,10,0.0 13 0.0
"Saturday Totals 1,403",,"350.0 1,192",298.0,90,22.0 84 21.0,3,0.0 2 0.0
"Sunday Totals 1,207",,"301.0 1,109",277.0,76,19.0 63 15.0,0,0.0 2 0.0
Delray Beach Station,,,,,,,
"Weekday Totals 16,347",,"710.0 14,305",621.0,803,34.0 882 38.0,25,1.0 43 1.0
"Saturday Totals 1,373",,"343.0 1,185",296.0,103,25.0 107 26.0,4,1.0 5 1.0
"Sunday Totals 1,163",,"290.0 1,004",251.0,85,21.0 78 19.0,0,0.0 3 0.0
Boca Raton Station,,,,,,,
"Weekday Totals 29,841",,"1,297.0 26,429","1,149.0","1,350","58.0 1,511 65.0",29,1.0 17 0.0
"Saturday Totals 1,688",,"422.0 1,571",392.0,140,35.0 136 34.0,4,1.0 4 1.0
"Sunday Totals 1,371",,"342.0 1,323",330.0,77,19.0 94 23.0,4,1.0 3 0.0
Deerfield Beach,,,,,,,
"Weekday Totals 16,644",,"723.0 16,377",712.0,828,36.0 999 43.0,9,0.0 14 0.0
"Saturday Totals 1,554",,"388.0 1,280",320.0,81,20.0 104 26.0,0,0.0 2 0.0
"Sunday Totals 1,131",,"282.0 1,014",253.0,59,14.0 62 15.0,0,0.0 2 0.0
Pompano Beach Station,,,,,,,
"Weekday Totals 18,715",,"813.0 16,808",730.0,"1,158","50.0 1,124 48.0",25,1.0 38 1.0
"Saturday Totals 1,713",,"428.0 1,481",370.0,101,25.0 105 26.0,5,1.0 6 1.0
"Sunday Totals 1,244",,"311.0 1,169",292.0,69,17.0 85 21.0,2,0.0 3 0.0
Cypress Creek Station,,,,,,,
"Weekday Totals 25,574",,"1,111.0 25,685","1,116.0","1,622","70.0 1,606 69.0",31,1.0 34 1.0
"Saturday Totals 1,817",,"454.0 1,918",479.0,109,27.0 117 29.0,4,1.0 4 1.0
"Sunday Totals 1,355",,"338.0 1,407",351.0,80,20.0 89 22.0,5,1.0 4 1.0
Ft. Lauderdale Station,,,,,,,
"Weekday Totals 21,384",,"929.0 20,815",905.0,"1,210","52.0 1,269 55.0",23,1.0 35 1.0
"Saturday Totals 2,073",,"518.0 1,980",495.0,125,31.0 138 34.0,5,1.0 9 2.0
"Sunday Totals 1,736",,"434.0 1,646",411.0,92,23.0 134 33.0,6,1.0 2 0.0
Ft. Lauderdale Airport Station,,,,,,,
"Weekday Totals 25,592",,"1,112.0 23,144","1,006.0",431,18.0 627 27.0,28,1.0 28 1.0
"Saturday Totals 2,561",,"640.0 2,378",594.0,44,11.0 56 14.0,5,1.0 4 1.0
"Sunday Totals 2,366",,"591.0 2,015",503.0,32,8.0 40 10.0,2,0.0 1 0.0
Sheridan Street Station,,,,,,,
"Weekday Totals 10,422",,"453.0 10,237",445.0,482,20.0 520 22.0,14,0.0 17 0.0
Saturday Totals 846,,211.0 943,235.0,47,11.0 70 17.0,4,1.0 5 1.0
Sunday Totals 695,,173.0 749,187.0,41,10.0 57 14.0,0,0.0 0 0.0
Hollywood Station,,,,,,,
"",,Passengers,,,Bikes,,PNAs
Station Name On,,Avg/Day Off,Avg/Day,On,Avg/Day Off Avg/Day,On,Avg/Day Off Avg/Day
Hollywood Station,,,,,,,
"Weekday Totals 18,015",,"783.0 15,817",687.0,"1,229","53.0 1,226 53.0",21,0.0 18 0.0
"Saturday Totals 1,593",,"398.0 1,499",374.0,112,28.0 114 28.0,4,1.0 5 1.0
"Sunday Totals 1,513",,"378.0 1,321",330.0,95,23.0 103 25.0,2,0.0 2 0.0
Golden Glades Station,,,,,,,
"Weekday Totals 13,977",,"607.0 13,781",599.0,480,20.0 557 24.0,10,0.0 16 0.0
"Saturday Totals 1,416",,"354.0 1,323",330.0,57,14.0 64 16.0,3,0.0 7 1.0
"Sunday Totals 1,177",,"294.0 1,144",286.0,55,13.0 53 13.0,1,0.0 2 0.0
Opa Locka Station,,,,,,,
"Weekday Totals 7,893",,"343.0 7,761",337.0,430,18.0 493 21.0,31,1.0 33 1.0
Saturday Totals 734,,183.0 749,187.0,49,12.0 47 11.0,4,1.0 8 2.0
Sunday Totals 619,,154.0 605,151.0,35,8.0 40 10.0,3,0.0 4 1.0
Metrorail Transfer Station,,,,,,,
"Weekday Totals 23,322",,"1,014.0 23,737","1,032.0","1,254","54.0 1,232 53.0",97,4.0 70 3.0
"Saturday Totals 2,291",,"572.0 2,399",599.0,123,30.0 128 32.0,16,4.0 11 2.0
"Sunday Totals 1,772",,"443.0 1,948",487.0,104,26.0 97 24.0,4,1.0 5 1.0
Hialeah Market Station,,,,,,,
"Weekday Totals 5,154",,"224.0 5,821",253.0,228,9.0 276 12.0,9,0.0 8 0.0
Saturday Totals 552,,138.0 484,121.0,27,6.0 33 8.0,1,0.0 1 0.0
Sunday Totals 476,,119.0 417,104.0,32,8.0 27 6.0,1,0.0 0 0.0
Miami Airport Station,,,,,,,
"Weekday Totals 24,396",,"1,060.0 34,854","1,515.0",417,18.0 245 10.0,32,1.0 32 1.0
"Saturday Totals 2,716",,"679.0 3,485",871.0,64,16.0 46 11.0,6,1.0 1 0.0
"Sunday Totals 2,624",,"656.0 3,133",783.0,45,11.0 48 12.0,4,1.0 4 1.0
"Weekday Totals 341,457",,"14,845.0 341,457","14,845.0","16,174","703.0 16,174 703.0",505,21.0 505 21.0
"Sat. Totals 30,400",,"7,600.0 30,400","7,600.0","1,666","416.0 1,666 416.0",101,25.0 101 25.0
"Sun. Totals 25,583",,"6,395.0 25,583","6,395.0","1,350","337.0 1,350 337.0",54,13.0 54 13.0
"Grand Totals 397,440",,"12,820.0 397,440","12,820.0","19,190","619.0 19,190 619.0",660,21.0 660 21.0
